"facility_id","facility_code","facility_class","facility_type","stop_id","facility_short_name","facility_long_name","facility_desc","facility_lat","facility_lon","wheelchair_facility"
"park-015","",3,"parking-area","Beverly Farms","Parking Lot","Beverly Farms Parking Lot","","","",0
"park-016","",3,"parking-area","Bradford","Parking Lot","Bradford Parking Lot","","","",0
"park-017","",3,"parking-area","place-brntn","Garage","Braintree Garage","","42.207767","-71.000546",0
"ev-017","",6,"electric-car-chargers","place-brntn","EV Chargers","Braintree Garage EV Chargers","","","",0
"park-018","",3,"parking-area","Brandeis/ Roberts","Parking Lot","Brandeis/Roberts Parking Lot","","","",0
"park-019","",3,"parking-area","Bridgewater","Parking Lot","Bridgewater Parking Lot","","","",0
"park-020","",3,"parking-area","Brockton","Parking Lot","Brockton Parking Lot","","","",0
"park-021","",3,"parking-area","place-butlr","Parking Lot","Butler Parking Lot","","42.272222","-71.063415",0
"park-022","",3,"parking-area","Campello","Parking Lot","Campello Parking Lot","","","",0
"park-023","",3,"parking-area","Canton Center","Parking Lot","Canton Center Parking Lot","","","",0
"park-024","",3,"parking-area","Canton Junction","Parking Lot","Canton Junction Parking Lot","","","",0
"park-025","",3,"parking-area","place-chhil","Parking Lot","Chestnut Hill Parking Lot","","42.327012","-71.164846",0
"park-026","",3,"parking-area","Cohasset","Parking Lot","Cohasset Parking Lot","","","",0
"park-027","",3,"parking-area","Concord","Parking Lot","Concord Parking Lot","","","",0
"park-028","",3,"parking-area","Dedham Corp Center","Parking Lot","Dedham Corp Center Parking Lot","","","",0
"park-029","",3,"parking-area","East Weymonth","Parking Lot","East Weymonth Parking Lot","","","",0
"park-030","",3,"parking-area","place-eliot","Parking Lot","Eliot Parking Lot","","42.319157","-71.216504",0
"park-031","",3,"parking-area","Endicott","Parking Lot","Endicott Parking Lot","","","",0
"park-032","",3,"parking-area","Fairmount","Parking Lot","Fairmount Parking Lot","","","",0
"park-033","",3,"parking-area","Fitchburg","Garage","Fitchburg Garage","","","",0
"ev-033","",6,"electric-car-chargers","Fitchburg","EV Chargers","Fitchburg Garage EV Chargers","","","",0
"park-034","",3,"parking-area","place-forhl","Parking Lot","Forest Hills Parking Lot","","42.298675","-71.114749",0
"ev-034","",6,"electric-car-chargers","place-forhl","EV Chargers","Forest Hills Parking Lot EV Chargers","","","",0
"park-035","",3,"parking-area","Forge Park / 495","Parking Lot","Forge Park/495 Parking Lot","","","",0
"park-036","",3,"parking-area","Framingham ","Parking Lot","Framingham Parking Lot","","","",0
"park-037","",3,"parking-area","Franklin","Parking Lot","Franklin Parking Lot","","","",0
"park-038","",3,"parking-area","Gloucester","Parking Lot","Gloucester Parking Lot","","","",0
"park-039","",3,"parking-area","Grafton","Parking Lot","Grafton Parking Lot","","","",0
"park-040","",3,"parking-area","Greenbush","Parking Lot","Greenbush Parking Lot","","","",0
"park-041","",3,"parking-area","Greenwood","Parking Lot","Greenwood Parking Lot","","","",0
"park-042","",3,"parking-area","Halifax","Parking Lot","Halifax Parking Lot","","","",0
"park-043","",3,"parking-area","Hamilton/ Wenham","Parking Lot","Hamilton/Wenham Parking Lot","","","",0
"park-044","",3,"parking-area","Hanson","Parking Lot","Hanson Parking Lot","","","",0
"park-045","",3,"parking-area","Hastings","Parking Lot","Hastings Parking Lot","","","",0
"park-046","",3,"parking-area","Haverhill","Parking Lot","Haverhill Parking Lot","","","",0
"park-047","",3,"parking-area","place-haecl","Garage","Haymarket Garage","","","",0
"park-048","",3,"parking-area","Hersey","Parking Lot","Hersey Parking Lot","","","",0
"park-049","",3,"parking-area","Highland","Parking Lot","Highland Parking Lot","","","",0
"park-050","",3,"parking-area","Boat-Hingham","Parking Lot","Hingham Parking Lot","","","",0
"park-051","",3,"parking-area","Holbrook/ Randolph","Parking Lot","Holbrook/Randolph Parking Lot","","","",0
"park-052","",3,"parking-area","Hyde Park","Parking Lot","Hyde Park Parking Lot","","","",0
"park-053","",3,"parking-area","Ipswich","Parking Lot","Ipswich Parking Lot","","","",0
"park-054","",3,"parking-area","Islington","Parking Lot","Islington Parking Lot","","","",0
"park-055","",3,"parking-area","Kendal Green","Parking Lot","Kendal Green Parking Lot","","","",0
"park-056","",3,"parking-area","Kingston","Parking Lot","Kingston Parking Lot","","","",0
"park-057","",3,"parking-area","Lawrence","Parking Lot","Lawrence Parking Lot","","","",0
"park-058","",3,"parking-area","Lincoln","Parking Lot","Lincoln Parking Lot","","","",0
"park-059","",3,"parking-area","Littleton / Rte 495","Parking Lot","Littleton/Rte 495 Parking Lot","","","",0
"ev-059","",6,"electric-car-chargers","Littleton / Rte 495","EV Chargers","Littleton/Rte 495 Parking Lot EV Chargers","","","",0
"park-060","",3,"parking-area","Lowell","Garage","Lowell Garage","","","",0
"park-061","",3,"parking-area","Lynn","Garage","Lynn Garage","","","",0
"park-062","",3,"parking-area","place-mlmnl","Parking Lot","Malden Center Parking Lot","","42.42683","-71.075305",0
"park-063","",3,"parking-area","Manchester","Parking Lot","Manchester Parking Lot","","","",0
"park-064","",3,"parking-area","Mansfield","Parking Lot","Mansfield Parking Lot","","","",0
"park-065","",3,"parking-area","place-matt","Parking Lot","Mattapan Parking Lot","","42.268231","-71.091983",0
"park-066","",3,"parking-area","Melrose Highlands","Parking Lot","Melrose Highlands Parking Lot","","","",0
"park-067","",3,"parking-area","Melrose Cedar Park","Parking Lot","Melrose Cedar Park Parking Lot","","","",0
"park-068","",3,"parking-area","Middleborough/ Lakeville","Parking Lot","Middleborough/Lakeville Parking Lot","","","",0
"park-069","",3,"parking-area","place-miltt","Parking Lot","Milton Parking Lot","","42.270164","-71.066974",0
"park-070","",3,"parking-area","Montello","Parking Lot","Montello Parking Lot","","","",0
"park-071","",3,"parking-area","Montserrat","Parking Lot","Montserrat Parking Lot","","","",0
"park-072","",3,"parking-area","North Billerica","Garage","North Billerica Garage","","","",0
"park-073","",3,"parking-area","North Leominster","Garage","North Leominster Garage","","","",0
"ev-073","",6,"electric-car-chargers","North Leominster","EV Chargers","North Leominster Garage EV Chargers","","","",0
"park-074","",3,"parking-area","North Wilmington","Parking Lot","North Wilmington Parking Lot","","","",0
"park-075","",3,"parking-area","Nantasket","Parking Lot","Nantasket Parking Lot","","","",0
"park-076","",3,"parking-area","Natick","Parking Lot","Natick Parking Lot","","","",0
"park-077","",3,"parking-area","Needham Center","Parking Lot","Needham Center Parking Lot","","","",0
"park-078","",3,"parking-area","Needham Heights","Parking Lot","Needham Heights Parking Lot","","","",0
"park-079","",3,"parking-area","Needham Junction","Parking Lot","Needham Junction Parking Lot","","","",0
"park-080","",3,"parking-area","Newburyport","Parking Lot","Newburyport Parking Lot","","","",0
"park-081","",3,"parking-area","Norfolk","Parking Lot","Norfolk Parking Lot","","","",0
"park-082","",3,"parking-area","North Beverly","Parking Lot","North Beverly Parking Lot","","","",0
"park-083","",3,"parking-area","place-nqncy","Hancock Street Parking Lot","North Quincy Hancock Street Parking Lot","","42.276644","-71.030331",0
"park-084","",3,"parking-area","place-nqncy","Newport Avenue Parking Lot","North Quincy Newport Avenue Parking Lot","","42.274241","-71.028957",0
"park-085","",3,"parking-area","North Scituate","Parking Lot","North Scituate Parking Lot","","","",0
"park-086","",3,"parking-area","Norwood Central","Parking Lot","Norwood Central Parking Lot","","","",0
"park-087","",3,"parking-area","Norwood Depot","Parking Lot","Norwood Depot Parking Lot","","","",0
"park-088","",3,"parking-area","place-ogmnl","Banks Place Parking Lot","Oak Grove Banks Place Parking Lot","","42.436121","-71.070641",0
"park-089","",3,"parking-area","place-orhte","Barnes Avenue Parking Lot","Orient Heights Barnes Avenue Parking Lot","","42.386432","-71.001906",0
"park-090","",3,"parking-area","Plymouth","Parking Lot","Plymouth Parking Lot","","","",0
"park-091","",3,"parking-area","Providence","Garage","Providence Garage","","","",0
"park-092","",3,"parking-area","place-qamnl","Garage","Quincy Adams Garage","","42.233003","-71.007702",0
"ev-092","",6,"electric-car-chargers","place-qamnl","EV Chargers","Quincy Adams Garage EV Chargers","","","",0
"park-093","",3,"parking-area","Reading","Parking Lot","Reading Parking Lot","","","",0
"park-094","",3,"parking-area","Readville","Parking Lot","Readville Parking Lot","","","",0
"park-095","",3,"parking-area","place-river","Parking Lot","Riverside Parking Lot","","42.335963","-71.253308",0
"park-096","",3,"parking-area","Rockport","Parking Lot","Rockport Parking Lot","","","",0
"park-097","",3,"parking-area","Roslindale Village","Parking Lot","Roslindale Village Parking Lot","","","",0
"park-098","",3,"parking-area","Route 128","Garage","Route 128 Garage","","","",0
"ev-098","",6,"electric-car-chargers","Route 128","EV Chargers","Route 128 Garage EV Chargers","","","",0
"park-099","",3,"parking-area","Rowley","Parking Lot","Rowley Parking Lot","","","",0
"park-100","",3,"parking-area","South Acton","Parking Lot","South Acton Parking Lot","","","",0
"park-101","",3,"parking-area","Salem","Garage","Salem Garage","","","",0
"ev-101","",6,"electric-car-chargers","Salem","EV Chargers","Salem Garage EV Chargers","","","",0
"park-102","",3,"parking-area","place-shmnl","Sydney Street Parking Lot","Savin Hill Sydney Street Parking Lot","","42.310814","-71.053835",0
"park-103","",3,"parking-area","Sharon","Parking Lot","Sharon Parking Lot","","","",0
"park-104","",3,"parking-area","Shirley","Parking Lot","Shirley Parking Lot","","","",0
"park-105","",3,"parking-area","South Attleboro","Parking Lot","South Attleboro Parking Lot","","","",0
"park-106","",3,"parking-area","South Weymouth","Parking Lot","South Weymouth Parking Lot","","","",0
"park-107","",3,"parking-area","Southborough","Parking Lot","Southborough Parking Lot","","","",0
"park-108","",3,"parking-area","Stoughton","Parking Lot","Stoughton Parking Lot","","","",0
"park-109","",3,"parking-area","place-sdmnl","Bennington Street Parking Lot","Suffolk Downs Bennington Street Parking Lot","","42.391043","-70.996408",0
"park-110","",3,"parking-area","place-sull","Parking Lot","Sullivan Square Parking Lot","","","",0
"park-111","",3,"parking-area","Swampscott","Parking Lot","Swampscott Parking Lot","","","",0
"park-112","",3,"parking-area","TF Green Airport","Parking Lot","TF Green Airport Parking Lot","","","",0
"park-113","",3,"parking-area","Uphams Corner","Parking Lot","Uphams Corner Parking Lot","","","",0
"park-114","",3,"parking-area","West Newton","Washington Street Parking Lot","West Newton Washington Street Parking Lot","","","",0
"park-115","",3,"parking-area","West Newton","Webster Street Parking Lot","West Newton Webster Street Parking Lot","","","",0
"park-116","",3,"parking-area","place-waban","Parking Lot","Waban Parking Lot","","42.325986","-71.230382",0
"park-117","",3,"parking-area","Wachusett","Garage","Wachusett Garage","","","",0
"ev-117","",6,"electric-car-chargers","Wachusett","EV Chargers","Wachusett Garage EV Chargers","","","",0
"park-118","",3,"parking-area","Wakefield","Parking Lot","Wakefield Parking Lot","","","",0
"park-119","",3,"parking-area","Walpole","Parking Lot","Walpole Parking Lot","","","",0
"park-120","",3,"parking-area","Waltham","Parking Lot","Waltham Parking Lot","","","",0
"park-121","",3,"parking-area","900","Parking Lot","Watertown Yard Parking Lot","","","",0
"park-122","",3,"parking-area","Wedgemere","Parking Lot","Wedgemere Parking Lot","","","",0
"park-123","",3,"parking-area","Wellesley Farms","Parking Lot","Wellesley Farms Parking Lot","","","",0
"park-124","",3,"parking-area","Wellesley Hills","Parking Lot","Wellesley Hills Parking Lot","","","",0
"park-125","",3,"parking-area","Wellesley Square","Parking Lot","Wellesley Square Parking Lot","","","",0
"park-126","",3,"parking-area","place-welln","Parking Lot","Wellington Parking Lot","","42.402238","-71.075427",0
"park-127","",3,"parking-area","West Concord","Parking Lot","West Concord Parking Lot","","","",0
"park-128","",3,"parking-area","West Gloucester","Parking Lot","West Gloucester Parking Lot","","","",0
"park-129","",3,"parking-area","West Hingham","Parking Lot","West Hingham Parking Lot","","","",0
"park-130","",3,"parking-area","West Medford","Parking Lot","West Medford Parking Lot","","","",0
"park-131","",3,"parking-area","West Natick","Parking Lot","West Natick Parking Lot","","","",0
"park-132","",3,"parking-area","West Roxbury","Parking Lot","West Roxbury Parking Lot","","","",0
"park-133","",3,"parking-area","Westborough","Parking Lot","Westborough Parking Lot","","","",0
"park-134","",3,"parking-area","Weymouth Landing/ East Braintree","Parking Lot","Weymouth Landing/East Braintree Parking Lot","","","",0
"park-135","",3,"parking-area","Whitman","Parking Lot","Whitman Parking Lot","","","",0
"park-136","",3,"parking-area","Wilmington","Parking Lot","Wilmington Parking Lot","","","",0
"ev-136","",6,"electric-car-chargers","Wilmington","EV Chargers","Wilmington Parking Lot EV Chargers","","","",0
"park-137","",3,"parking-area","Winchester Center","Parking Lot","Winchester Center Parking Lot","","","",0
"park-138","",3,"parking-area","place-wlsta","Parking Lot","Wollaston Parking Lot","","","",0
"park-139","",3,"parking-area","place-wondl","Garage","Wonderland Garage","","42.412954","-70.992453",0
"ev-139","",6,"electric-car-chargers","place-wondl","EV Chargers","Wonderland Garage EV Chargers","","","",0
"park-140","",3,"parking-area","place-wondl","North Shore Road Parking Lot","Wonderland North Shore Road Parking Lot","","42.415135","-70.991207",0
"park-141","",3,"parking-area","place-wondl","Ocean Avenue Parking Lot","Wonderland Ocean Avenue Parking Lot","","42.413634","-70.990892",0
"park-142","",3,"parking-area","place-woodl","Garage","Woodland Garage","","42.332036","-71.240704",0
"ev-142","",6,"electric-car-chargers","place-woodl","EV Chargers","Woodland Garage EV Chargers","","","",0
"park-143","",3,"parking-area","Worcester","Parking Lot","Worcester Parking Lot","","","",0
"park-144","",3,"parking-area","Wyoming Hill","Parking Lot","Wyoming Hill Parking Lot","","","",0
"6","6","1","escalator","place-state","Oak Grove platform to Old State House lobby","State Street Escalator 6 (Oak Grove platform to Old State House lobby)","","","",2
"50","50","1","elevator","Framingham","Outbound platform to pedestrian bridge","Framingham Elevator 50 (Outbound platform to pedestrian bridge)","","","",1
"51","51","1","elevator","Framingham","Waverly Street to pedestrian bridge","Framingham Elevator 51 (Waverly Street to pedestrian bridge)","","","",1
"52","52","1","elevator","Route 128","Lobby to South Station platform","Route 128 Elevator 52 (Lobby to South Station platform)","","","",1
"53","53","1","elevator","Route 128","Lobby to outbound platform","Route 128 Elevator 53 (Lobby to outbound platform)","","","",1
"54","54","1","escalator","Route 128","South Station platform to lobby","Route 128 Escalator 54 (South Station platform to lobby)","","","",2
"55","55","1","escalator","Route 128","Outbound platform to lobby","Route 128 Escalator 55 (Outbound platform to lobby)","","","",2
"102","102","1","escalator","place-ogmnl","Washington Street to unpaid lobby","Oak Grove Escalator 102 (Washington Street to unpaid lobby)","","","",2
"103","103","1","escalator","place-ogmnl","Paid lobby to Forest Hills platform","Oak Grove Escalator 103 (Paid lobby to Forest Hills platform)","","","",2
"104","104","1","escalator","place-ogmnl","Parking, busway to unpaid lobby","Oak Grove Escalator 104 (Parking, busway to unpaid lobby)","","","",2
"105","105","1","escalator","place-ogmnl","Commuter Rail platform to unpaid lobby","Oak Grove Escalator 105 (Commuter Rail platform to unpaid lobby)","","","",2
"112","112","1","escalator","place-dwnxg","Ashmont/Braintree platform to Chauncy Street","Downtown Crossing Escalator 112 (Ashmont/Braintree platform to Chauncy Street)","","","",2
"113","113","1","escalator","place-dwnxg","Alewife platform to Hawley Street","Downtown Crossing Escalator 113 (Alewife platform to Hawley Street)","","","",2
"123","123","1","escalator","place-andrw","Ashmont/Braintree platform to busway","Andrew Escalator 123 (Ashmont/Braintree platform to busway)","","","",2
"124","124","1","escalator","place-andrw","Ashmont/Braintree platform to busway","Andrew Escalator 124 (Ashmont/Braintree platform to busway)","","","",2
"125","125","1","escalator","place-bomnl","Lobby to street","Bowdoin Escalator 125 (Lobby to street)","","","",2
"127","127","1","escalator","place-forhl","Lower busway north to upper lobby","Forest Hills Escalator 127 (Lower busway north to upper lobby)","","","",2
"128","128","1","escalator","place-forhl","Lower busway south to upper lobby","Forest Hills Escalator 128 (Lower busway south to upper lobby)","","","",2
"129","129","1","escalator","place-forhl","Oak Grove platform to upper lobby","Forest Hills Escalator 129 (Oak Grove platform to upper lobby)","","","",2
"130","130","1","escalator","place-forhl","Oak Grove platform to upper lobby","Forest Hills Escalator 130 (Oak Grove platform to upper lobby)","","","",2
"131","131","1","escalator","place-grnst","Platform to paid lobby","Green Street Escalator 131 (Platform to paid lobby)","","","",2
"132","132","1","escalator","place-sbmnl","Platform to paid lobby","Stony Brook Escalator 132 (Platform to paid lobby)","","","",2
"133","133","1","escalator","place-jaksn","Platform to paid lobby","Jackson Square Escalator 133 (Platform to paid lobby)","","","",2
"134","134","1","escalator","place-rcmnl","Platform to paid lobby","Roxbury Crossing Escalator 134 (Platform to paid lobby)","","","",2
"135","135","1","escalator","place-rugg","Busway to upper lobby","Ruggles Escalator 135 (Busway to upper lobby)","","","",2
"136","136","1","escalator","place-rugg","Orange Line platform to upper lobby","Ruggles Escalator 136 (Orange Line platform to upper lobby)","","","",2
"137","137","1","escalator","place-rugg","Orange Line platform to upper lobby","Ruggles Escalator 137 (Orange Line platform to upper lobby)","","","",2
"138","138","1","escalator","place-rugg","Forsyth Street to upper lobby","Ruggles Escalator 138 (Forsyth Street to upper lobby)","","","",2
"139","139","1","escalator","place-masta","Platform to paid lobby","Massachusetts Ave Escalator 139 (Platform to paid lobby)","","","",2
"140","140","1","escalator","place-bbsta","Orange Line platform to lobby","Back Bay Escalator 140 (Orange Line platform to lobby)","","","",2
"141","141","1","escalator","place-bbsta","Orange Line platform to lobby","Back Bay Escalator 141 (Orange Line platform to lobby)","","","",2
"142","142","1","escalator","place-bbsta","Commuter Rail tracks 1 and 3 to lobby","Back Bay Escalator 142 (Commuter Rail tracks 1 and 3 to lobby)","","","",2
"143","143","1","escalator","place-bbsta","Commuter Rail tracks 1 and 3 to lobby","Back Bay Escalator 143 (Commuter Rail tracks 1 and 3 to lobby)","","","",2
"144","144","1","escalator","place-bbsta","Commuter Rail track 2 to lobby","Back Bay Escalator 144 (Commuter Rail track 2 to lobby)","","","",2
"145","145","1","escalator","place-tumnl","Lobby to Washington Street","Tufts Medical Center Escalator 145 (Lobby to Washington Street)","","","",2
"146","146","1","escalator","place-tumnl","Oak Grove platform to Washington Street lobby","Tufts Medical Center Escalator 146 (Oak Grove platform to Washington Street lobby)","","","",2
"147","147","1","escalator","place-tumnl","Forest Hills platform to Washington Street lobby","Tufts Medical Center Escalator 147 (Forest Hills platform to Washington Street lobby)","","","",2
"148","148","1","escalator","place-tumnl","Oak Grove platform to Tremont Street lobby","Tufts Medical Center Escalator 148 (Oak Grove platform to Tremont Street lobby)","","","",2
"149","149","1","escalator","place-tumnl","Forest Hills platform to Tremont Street lobby","Tufts Medical Center Escalator 149 (Forest Hills platform to Tremont Street lobby)","","","",2
"150","150","1","escalator","place-prmnl","Lobby to Huntington Avenue","Prudential Escalator 150 (Lobby to Huntington Avenue)","","","",2
"151","151","1","escalator","place-prmnl","Heath Street platform to lobby","Prudential Escalator 151 (Heath Street platform to lobby)","","","",2
"152","152","1","escalator","place-prmnl","Park Street & North platform to lobby","Prudential Escalator 152 (Park Street & North platform to lobby)","","","",2
"301","301","1","escalator","place-andrw","Alewife platform to lobby","Andrew Escalator 301 (Alewife platform to lobby)","","","",2
"302","302","1","escalator","place-north","Forest Hills, Copley & West platform to Valenti Way lobby","North Station Escalator 302 (Forest Hills, Copley & West platform to Valenti Way lobby)","","","",2
"303","303","1","escalator","place-north","Valenti Way lobby to Forest Hills, Copley & West platform","North Station Escalator 303 (Valenti Way lobby to Forest Hills, Copley & West platform)","","","",2
"304","304","1","escalator","place-north","Oak Grove platform to Valenti Way lobby","North Station Escalator 304 (Oak Grove platform to Valenti Way lobby)","","","",2
"305","305","1","escalator","place-ccmnl","Forest Hills platform to paid lobby","Community College Escalator 305 (Forest Hills platform to paid lobby)","","","",2
"307","307","1","escalator","place-sull","Forest Hills platform to paid lobby","Sullivan Square Escalator 307 (Forest Hills platform to paid lobby)","","","",2
"308","308","1","escalator","place-sull","Oak Grove platform to paid lobby","Sullivan Square Escalator 308 (Oak Grove platform to paid lobby)","","","",2
"309","309","1","escalator","place-welln","Forest Hills platform to paid lobby","Wellington Escalator 309 (Forest Hills platform to paid lobby)","","","",2
"310","310","1","escalator","place-welln","Oak Grove platform to paid lobby","Wellington Escalator 310 (Oak Grove platform to paid lobby)","","","",2
"311","311","1","escalator","place-mlmnl","Paid lobby to Orange Line platform","Malden Center Escalator 311 (Paid lobby to Orange Line platform)","","","",2
"312","312","1","escalator","place-mlmnl","Street level to Commuter Rail platform","Malden Center Escalator 312 (Street level to Commuter Rail platform)","","","",2
"313","313","1","escalator","place-haecl","Green Line lobby to busway, Sudbury Street, New Chardon Street","Haymarket Escalator 313 (Green Line lobby to busway, Sudbury Street, New Chardon Street)","","","",2
"315","315","1","escalator","place-hymnl","Kenmore & West platform to paid lobby","Hynes Convention Center Escalator 315 (Kenmore & West platform to paid lobby)","","","",2
"320","320","1","escalator","place-pktrm","Copley & West platform to Park Street","Park Street Escalator 320 (Copley & West platform to Park Street)","","","",2
"322","322","1","escalator","place-jfk","Ashmont platform to Columbia Road","JFK/UMass Escalator 322 (Ashmont platform to Columbia Road)","","","",2
"325","325","1","escalator","place-nqncy","Platform to southern paid lobby","North Quincy Escalator 325 (Platform to southern paid lobby)","","","",2
"326","326","1","escalator","place-nqncy","Platform to Squantum Street paid lobby","North Quincy Escalator 326 (Platform to Squantum Street paid lobby)","","","",2
"327","327","1","escalator","place-nqncy","Hancock Street parking to unpaid lobby","North Quincy Escalator 327 (Hancock Street parking to unpaid lobby)","","","",2
"329","329","1","escalator","place-wlsta","Paid lobby to platform","Wollaston Escalator 329 (Paid lobby to platform)","","","",2
"330","330","1","escalator","place-qnctr","Platform to paid lobby","Quincy Center Escalator 330 (Platform to paid lobby)","","","",2
"331","331","1","escalator","place-dwnxg","Ashmont/Braintree platform to Oak Grove platform","Downtown Crossing Escalator 331 (Ashmont/Braintree platform to Oak Grove platform)","","","",2
"332","332","1","escalator","place-dwnxg","Alewife platform to Oak Grove platform","Downtown Crossing Escalator 332 (Alewife platform to Oak Grove platform)","","","",2
"333","333","1","escalator","place-brntn","Busway to Commuter Rail platform, parking garage","Braintree Escalator 333 (Busway to Commuter Rail platform, parking garage)","","","",2
"334","334","1","escalator","place-brntn","Paid lobby to Red Line platform","Braintree Escalator 334 (Paid lobby to Red Line platform)","","","",2
"335","335","1","escalator","place-brntn","Paid lobby to Red Line platform","Braintree Escalator 335 (Paid lobby to Red Line platform)","","","",2
"336","336","1","escalator","place-davis","College Avenue landing to street","Davis Escalator 336 (College Avenue landing to street)","","","",2
"337","337","1","escalator","place-davis","College Avenue street to landing","Davis Escalator 337 (College Avenue street to landing)","","","",2
"338","338","1","escalator","place-davis","Unpaid lobby to College Avenue landing","Davis Escalator 338 (Unpaid lobby to College Avenue landing)","","","",2
"339","339","1","escalator","place-davis","College Avenue landing to unpaid lobby","Davis Escalator 339 (College Avenue landing to unpaid lobby)","","","",2
"340","340","1","escalator","place-davis","Red Line platform to paid lobby","Davis Escalator 340 (Red Line platform to paid lobby)","","","",2
"341","341","1","escalator","place-davis","Red Line platform to paid lobby","Davis Escalator 341 (Red Line platform to paid lobby)","","","",2
