"added_route_id","trip_id"
"24","35896178"
"27","35896178"
"24","35896179"
"27","35896179"
"24","35896180"
"27","35896180"
"24","35896181"
"27","35896181"
"24","35896182"
"27","35896182"
"24","35896183"
"27","35896183"
"24","35896184"
"27","35896184"
"24","35896185"
"27","35896185"
"24","35896186"
"27","35896186"
"24","35896187"
"27","35896187"
"24","35896188"
"27","35896188"
"24","35896189"
"27","35896189"
"40","35897402"
"50","35897402"
"40","35897405"
"50","35897405"
"40","35897421"
"50","35897421"
"40","35897432"
"50","35897432"
"37","35751242"
"38","35751242"
"37","35751253"
"38","35751253"
"37","35751264"
"38","35751264"
"37","35751271"
"38","35751271"
"37","35751284"
"38","35751284"
"37","35751293"
"38","35751293"
"24","35751510"
"27","35751510"
"24","35751511"
"27","35751511"
"24","35751512"
"27","35751512"
"24","35751513"
"27","35751513"
"24","35751514"
"27","35751514"
"24","35751515"
"27","35751515"
"24","35751516"
"27","35751516"
"24","35751517"
"27","35751517"
"24","35751518"
"27","35751518"
"24","35751519"
"27","35751519"
"24","35751520"
"27","35751520"
"24","35751521"
"27","35751521"
"24","35751523"
"27","35751523"
"24","35751524"
"27","35751524"
"24","35751525"
"27","35751525"
"24","35751526"
"27","35751526"
"24","35751527"
"27","35751527"
"24","35751528"
"27","35751528"
"24","35751529"
"27","35751529"
"24","35751530"
"27","35751530"
"24","35751531"
"27","35751531"
"24","35751532"
"27","35751532"
"24","35751533"
"27","35751533"
"24","35751534"
"27","35751534"
"24","35751535"
"27","35751535"
"24","35751536"
"27","35751536"
"24","35751537"
"27","35751537"
"24","35751538"
"27","35751538"
"24","35751539"
"27","35751539"
"24","35751540"
"27","35751540"
"24","35751541"
"27","35751541"
"24","35751542"
"27","35751542"
"24","35751543"
"27","35751543"
"24","35751544"
"27","35751544"
"24","35751545"
"27","35751545"
"24","35751546"
"27","35751546"
"24","35751547"
"27","35751547"
"24","35751548"
"27","35751548"
"24","35751549"
"27","35751549"
"24","35751550"
"27","35751550"
"40","35751690"
"50","35751690"
"40","35751691"
"50","35751691"
"40","35751692"
"50","35751692"
"40","35751693"
"50","35751693"
"40","35751694"
"50","35751694"
"40","35751695"
"50","35751695"
"40","35751696"
"50","35751696"
"40","35751697"
"50","35751697"
"24","35751798"
"27","35751798"
"24","35751799"
"27","35751799"
"24","35751800"
"27","35751800"
"24","35751801"
"27","35751801"
"24","35751802"
"27","35751802"
"24","35751803"
"27","35751803"
"24","35751804"
"27","35751804"
"24","35751805"
"27","35751805"
"24","35751806"
"27","35751806"
"24","35751807"
"27","35751807"
"24","35751808"
"27","35751808"
"24","35751809"
"27","35751809"
"24","35751810"
"27","35751810"
"32","35752242"
"33","35752242"
"32","35752391"
"33","35752391"
"24","35760002"
"27","35760002"
"24","35760041"
"27","35760041"
"40","35760175"
"50","35760175"
"40","35760176"
"50","35760176"
"40","35760177"
"50","35760177"
"40","35760178"
"50","35760178"
"40","35760179"
"50","35760179"
"40","35760180"
"50","35760180"
"40","35760181"
"50","35760181"
"40","35760182"
"50","35760182"
"40","35760183"
"50","35760183"
"40","35760184"
"50","35760184"
"40","35760185"
"50","35760185"
"40","35760186"
"50","35760186"
"40","35760187"
"50","35760187"
"40","35760188"
"50","35760188"
"40","35760189"
"50","35760189"
"40","35760190"
"50","35760190"
"24","35760191"
"27","35760191"
"24","35760313"
"27","35760313"
"24","35760314"
"27","35760314"
"24","35760315"
"27","35760315"
"24","35760316"
"27","35760316"
"24","35760317"
"27","35760317"
"24","35760318"
"27","35760318"
"24","35760319"
"27","35760319"
"24","35760320"
"27","35760320"
"24","35760321"
"27","35760321"
"24","35760322"
"27","35760322"
"24","35760323"
"27","35760323"
"24","35760324"
"27","35760324"
"24","35760325"
"27","35760325"
"24","35760326"
"27","35760326"
"24","35760327"
"27","35760327"
"24","35760328"
"27","35760328"
"24","35760329"
"27","35760329"
"24","35760330"
"27","35760330"
"24","35760331"
"27","35760331"
"24","35760332"
"27","35760332"
"24","35760333"
"27","35760333"
"89","35717496"
"93","35717496"
"89","35661569"
"93","35661569"
"89","35663317"
"93","35663317"
"89","35663318"
"93","35663318"
"441","35862856"
"442","35862856"
"441","35862884"
"442","35862884"
"441","35862885"
"442","35862885"
"441","35862886"
"442","35862886"
"441","35862887"
"442","35862887"
"441","35862888"
"442","35862888"
"441","35862889"
"442","35862889"
"441","35862890"
"442","35862890"
"441","35862891"
"442","35862891"
"441","35862892"
"442","35862892"
"441","35862894"
"442","35862894"
"441","35862895"
"442","35862895"
"441","35862910"
"442","35862910"
"441","35862912"
"442","35862912"
"441","35862982"
